Frame,ID,State,Confidence
1,1,STANDING,0.9
1,2,SITTING,0.89
1,3,SITTING,0.88
1,4,SITTING,0.88
1,5,SITTING,0.87
1,6,SITTING,0.85
1,7,SITTING,0.84
1,8,STANDING,0.84
1,9,SITTING,0.83
1,10,SITTING,0.78
1,11,STANDING,0.73
1,12,SITTING,0.68
1,13,SITTING,0.58
1,14,STANDING,0.56
1,15,SITTING,0.53
2,1,STANDING,0.9
2,2,SITTING,0.89
2,3,SITTING,0.87
2,4,SITTING,0.88
2,5,SITTING,0.87
2,6,SITTING,0.85
2,7,SITTING,0.85
2,8,STANDING,0.84
2,9,SITTING,0.82
2,10,SITTING,0.79
2,11,STANDING,0.74
2,12,SITTING,0.79
2,13,SITTING,0.59
2,14,STANDING,0.66
2,15,SITTING,0.55
3,1,STANDING,0.89
3,2,SITTING,0.88
3,3,SITTING,0.87
3,4,SITTING,0.87
3,5,SITTING,0.87
3,6,SITTING,0.85
3,7,SITTING,0.84
3,8,STANDING,0.84
3,9,SITTING,0.83
3,10,SITTING,0.78
3,11,STANDING,0.72
3,12,SITTING,0.82
3,13,SITTING,0.6
3,14,STANDING,0.81
3,15,SITTING,0.56
4,1,STANDING,0.89
4,2,SITTING,0.89
4,3,SITTING,0.89
4,4,SITTING,0.87
4,5,SITTING,0.87
4,6,SITTING,0.85
4,7,SITTING,0.85
4,8,STANDING,0.84
4,9,SITTING,0.83
4,10,SITTING,0.78
4,11,STANDING,0.74
4,12,SITTING,0.83
4,13,SITTING,0.63
4,14,STANDING,0.83
4,15,SITTING,0.55
5,1,STANDING,0.89
5,2,SITTING,0.89
5,3,SITTING,0.88
5,4,SITTING,0.87
5,5,SITTING,0.86
5,6,SITTING,0.85
5,7,SITTING,0.85
5,8,STANDING,0.84
5,9,SITTING,0.81
5,10,SITTING,0.78
5,11,STANDING,0.73
5,12,SITTING,0.74
5,13,SITTING,0.61
5,14,STANDING,0.84
5,15,SITTING,0.47
6,1,STANDING,0.89
6,2,SITTING,0.89
6,3,SITTING,0.88
6,4,SITTING,0.87
6,5,SITTING,0.87
6,6,SITTING,0.85
6,7,SITTING,0.86
6,8,STANDING,0.84
6,9,SITTING,0.82
6,10,SITTING,0.78
6,11,STANDING,0.73
6,12,SITTING,0.74
6,13,SITTING,0.63
6,14,STANDING,0.86
6,15,SITTING,0.47
7,1,STANDING,0.89
7,2,SITTING,0.89
7,3,SITTING,0.88
7,4,SITTING,0.87
7,5,SITTING,0.87
7,6,SITTING,0.85
7,7,SITTING,0.84
7,8,STANDING,0.85
7,9,SITTING,0.82
7,10,SITTING,0.78
7,11,STANDING,0.73
7,12,SITTING,0.75
7,13,SITTING,0.61
7,14,STANDING,0.87
7,15,SITTING,0.5
8,1,STANDING,0.89
8,2,SITTING,0.89
8,3,SITTING,0.88
8,4,SITTING,0.87
8,5,SITTING,0.87
8,6,SITTING,0.84
8,7,SITTING,0.84
8,8,STANDING,0.85
8,9,SITTING,0.82
8,10,SITTING,0.78
8,11,STANDING,0.75
8,12,SITTING,0.77
8,13,SITTING,0.61
8,14,STANDING,0.86
8,15,SITTING,0.5
9,1,STANDING,0.89
9,2,SITTING,0.89
9,3,SITTING,0.86
9,4,SITTING,0.87
9,5,SITTING,0.87
9,6,SITTING,0.85
9,7,SITTING,0.84
9,8,STANDING,0.84
9,9,SITTING,0.84
9,10,SITTING,0.78
9,11,STANDING,0.76
9,12,SITTING,0.83
9,13,SITTING,0.63
9,14,STANDING,0.86
9,15,SITTING,0.53
10,1,STANDING,0.9
10,2,SITTING,0.89
10,3,SITTING,0.86
10,4,SITTING,0.87
10,5,SITTING,0.87
10,6,SITTING,0.85
10,7,SITTING,0.86
10,8,STANDING,0.84
10,9,SITTING,0.83
10,10,SITTING,0.78
10,11,STANDING,0.77
10,12,SITTING,0.84
10,13,SITTING,0.61
10,14,STANDING,0.86
10,15,SITTING,0.53
11,1,STANDING,0.89
11,2,SITTING,0.89
11,3,SITTING,0.88
11,4,SITTING,0.87
11,5,SITTING,0.86
11,6,SITTING,0.85
11,7,SITTING,0.85
11,8,STANDING,0.83
11,9,SITTING,0.82
11,10,SITTING,0.78
11,11,STANDING,0.79
11,12,SITTING,0.73
11,13,SITTING,0.59
11,14,STANDING,0.85
11,15,SITTING,0.52
12,1,STANDING,0.89
12,2,SITTING,0.89
12,3,SITTING,0.89
12,4,SITTING,0.87
12,5,SITTING,0.87
12,6,SITTING,0.85
12,7,SITTING,0.85
12,8,STANDING,0.83
12,9,SITTING,0.82
12,10,SITTING,0.78
12,11,STANDING,0.8
12,12,SITTING,0.73
12,13,SITTING,0.55
12,14,STANDING,0.85
12,15,SITTING,0.52
13,1,STANDING,0.89
13,2,SITTING,0.88
13,3,SITTING,0.87
13,4,SITTING,0.87
13,5,SITTING,0.87
13,6,SITTING,0.85
13,7,SITTING,0.86
13,8,STANDING,0.83
13,9,SITTING,0.83
13,10,SITTING,0.77
13,11,STANDING,0.79
13,12,SITTING,0.81
13,13,SITTING,0.53
13,14,STANDING,0.86
13,15,SITTING,0.53
14,1,STANDING,0.89
14,2,SITTING,0.88
14,3,SITTING,0.88
14,4,SITTING,0.87
14,5,SITTING,0.87
14,6,SITTING,0.84
14,7,SITTING,0.85
14,8,STANDING,0.83
14,9,SITTING,0.84
14,10,SITTING,0.78
14,11,STANDING,0.79
14,12,SITTING,0.79
14,13,SITTING,0.53
14,14,STANDING,0.86
14,15,SITTING,0.49
15,1,STANDING,0.89
15,2,SITTING,0.88
15,3,SITTING,0.88
15,4,SITTING,0.87
15,5,SITTING,0.86
15,6,SITTING,0.85
15,7,SITTING,0.85
15,8,STANDING,0.83
