Frame,ID,State,Confidence
1,1,SITTING,0.88
1,2,SITTING,0.87
1,3,STANDING,0.86
1,4,SITTING,0.86
1,5,STANDING,0.85
1,6,SITTING,0.83
1,7,SITTING,0.76
1,8,STANDING,0.74
1,9,SITTING,0.63
1,10,SITTING,0.59
1,11,STANDING,0.55
1,12,STANDING,0.34
1,13,SITTING,0.29
2,1,SITTING,0.88
2,2,SITTING,0.87
2,3,STANDING,0.54
2,4,SITTING,0.85
2,5,STANDING,0.85
2,6,SITTING,0.83
2,7,SITTING,0.76
2,8,STANDING,0.75
2,9,SITTING,0.63
2,10,SITTING,0.61
2,11,STANDING,0.56
2,12,STANDING,0.32
2,13,SITTING,0.36
3,1,SITTING,0.88
3,2,SITTING,0.87
3,3,STANDING,0.65
3,4,SITTING,0.86
3,5,STANDING,0.85
3,6,SITTING,0.82
3,7,SITTING,0.77
3,8,STANDING,0.74
3,9,SITTING,0.64
3,10,SITTING,0.63
3,11,STANDING,0.52
3,12,STANDING,0.3
3,13,SITTING,0.39
4,1,SITTING,0.88
4,2,SITTING,0.87
4,3,STANDING,0.88
4,4,SITTING,0.86
4,5,STANDING,0.85
4,6,SITTING,0.83
4,7,SITTING,0.77
4,8,STANDING,0.74
4,9,STANDING,0.65
4,10,SITTING,0.68
4,11,STANDING,0.55
4,12,STANDING,0.35
4,13,SITTING,0.38
5,1,SITTING,0.88
5,2,SITTING,0.87
5,3,STANDING,0.88
5,4,SITTING,0.86
5,5,STANDING,0.85
5,6,SITTING,0.83
5,7,SITTING,0.78
5,8,STANDING,0.73
5,9,STANDING,0.67
5,10,SITTING,0.72
5,11,STANDING,0.49
5,12,STANDING,0.31
5,13,SITTING,0.41
6,1,SITTING,0.88
6,2,SITTING,0.87
6,3,STANDING,0.88
6,4,SITTING,0.86
6,5,STANDING,0.85
6,6,SITTING,0.82
6,7,SITTING,0.79
6,8,STANDING,0.72
6,9,STANDING,0.66
6,10,SITTING,0.69
6,11,STANDING,0.48
6,12,STANDING,0.27
6,13,SITTING,0.48
7,1,SITTING,0.87
7,2,SITTING,0.86
7,3,STANDING,0.89
7,4,SITTING,0.85
7,5,STANDING,0.85
7,6,SITTING,0.82
7,7,SITTING,0.78
7,8,STANDING,0.75
7,9,STANDING,0.71
7,10,SITTING,0.69
7,11,STANDING,0.52
7,12,STANDING,0.26
7,13,SITTING,0.5
8,1,SITTING,0.88
8,2,SITTING,0.86
8,3,STANDING,0.89
8,4,SITTING,0.85
8,5,STANDING,0.85
8,6,SITTING,0.82
8,7,SITTING,0.78
8,8,STANDING,0.73
8,9,STANDING,0.67
8,10,SITTING,0.66
8,11,STANDING,0.55
8,12,STANDING,0.29
8,13,SITTING,0.45
9,1,SITTING,0.88
9,2,SITTING,0.87
9,3,STANDING,0.87
9,4,SITTING,0.85
9,5,STANDING,0.85
9,6,SITTING,0.82
9,7,SITTING,0.78
9,8,STANDING,0.7
9,9,STANDING,0.66
9,10,SITTING,0.66
9,11,STANDING,0.55
9,12,STANDING,0.31
9,13,SITTING,0.37
10,1,SITTING,0.88
10,2,SITTING,0.87
10,3,STANDING,0.87
10,4,SITTING,0.85
10,5,STANDING,0.85
